round,hv024,state,shdist,nfhs_district_name,matched_census_district,census_distid,census_source_year,match_score,match_source,district_uid
NFHS-2,2,andhra pradesh,2,VIZIANAGARAM,Vizianagaram,2,1991,100.0,fuzzy,andhra pradesh_2
NFHS-2,2,andhra pradesh,1,SRIKAKULAM,Srikakulam,1,1991,100.0,fuzzy,andhra pradesh_1
NFHS-2,2,andhra pradesh,3,VISAKHAPATNAM,Visakhapatanam,3,1991,96.2962962962963,fuzzy,andhra pradesh_3
NFHS-2,2,andhra pradesh,7,GUNTUR,Guntur,7,1991,100.0,fuzzy,andhra pradesh_7
NFHS-2,2,andhra pradesh,4,EAST GODAVARI,East Godavari,4,1991,100.0,fuzzy,andhra pradesh_4
NFHS-2,2,andhra pradesh,6,KRISHNA,Krishna,6,1991,100.0,fuzzy,andhra pradesh_6
NFHS-2,2,andhra pradesh,5,WEST GODAVARI,West Godavari,5,1991,100.0,fuzzy,andhra pradesh_5
NFHS-2,2,andhra pradesh,9,NELLORE,Nellore,9,1991,100.0,fuzzy,andhra pradesh_9
NFHS-2,2,andhra pradesh,8,PRAKASAM,Prakasam,8,1991,100.0,fuzzy,andhra pradesh_8
NFHS-2,2,andhra pradesh,12,ANANTAPUR,Anantapur,12,1991,100.0,fuzzy,andhra pradesh_12
NFHS-2,2,andhra pradesh,11,CUDDAPAH,Cuddapah,11,1991,100.0,fuzzy,andhra pradesh_11
NFHS-2,2,andhra pradesh,13,KURNOOL,Kurnool,13,1991,100.0,fuzzy,andhra pradesh_13
NFHS-2,2,andhra pradesh,10,CHITTOOR,Chittoor,10,1991,100.0,fuzzy,andhra pradesh_10
NFHS-2,2,andhra pradesh,15,RANGAREDDY,Rangareddi,15,1991,90.0,fuzzy,andhra pradesh_15
NFHS-2,2,andhra pradesh,18,NIZAMABAD,Nnizamabad,18,1991,94.73684210526316,fuzzy,andhra pradesh_18
NFHS-2,2,andhra pradesh,14,MAHBUBNAGAR,Mahbubnagar,14,1991,100.0,fuzzy,andhra pradesh_14
NFHS-2,2,andhra pradesh,17,MEDAK,Medak,17,1991,100.0,fuzzy,andhra pradesh_17
NFHS-2,2,andhra pradesh,23,NALGONDA,Nalgonda,23,1991,100.0,fuzzy,andhra pradesh_23
NFHS-2,2,andhra pradesh,20,KARIMNAGAR,Karimnagar,20,1991,100.0,fuzzy,andhra pradesh_20
NFHS-2,2,andhra pradesh,21,WARANGAL,Warangal,21,1991,100.0,fuzzy,andhra pradesh_21
NFHS-2,2,andhra pradesh,22,KHAMMAM,Khammam,22,1991,100.0,fuzzy,andhra pradesh_22
NFHS-2,2,andhra pradesh,16,HYDERABAD,Hyderabad,16,1991,100.0,fuzzy,andhra pradesh_16
